Category: All categories

Country,asylum: (7/21/19 - 7/21/24)
Montserrat,
United Kingdom,100
Ireland,93
Cyprus,90
Ghana,84
Gambia,
Sierra Leone,
Australia,64
Malta,
Isle of Man,
United States,59
Liberia,
Gibraltar,
Belize,
Namibia,
St. Kitts & Nevis,
South Sudan,
Nigeria,52
South Africa,51
Guam,
Northern Mariana Islands,
Eswatini,
Philippines,46
Vanuatu,
Bahamas,
Guernsey,
Dominica,
Afghanistan,
Botswana,
Jersey,
Jamaica,
Ethiopia,
Rwanda,
Zimbabwe,
Malawi,
Iceland,
Somalia,
Uganda,
St. Helena,
Canada,39
Trinidad & Tobago,
Papua New Guinea,
British Virgin Islands,
Cayman Islands,
New Zealand,36
Singapore,36
Turks & Caicos Islands,
U.S. Virgin Islands,
Brunei,
Guyana,
Cameroon,
Lesotho,
Kenya,32
Grenada,
Myanmar (Burma),
Bhutan,
Antigua & Barbuda,
Greece,29
Pakistan,29
St. Lucia,
Barbados,
Maldives,
Fiji,
Zambia,
Lebanon,
St. Vincent & Grenadines,
Sri Lanka,25
Solomon Islands,
Seychelles,
Aruba,
Bermuda,
Burundi,
Equatorial Guinea,
Qatar,
Sint Maarten,
United Arab Emirates,22
Sweden,21
Malaysia,21
Puerto Rico,
Albania,
Bahrain,
Mauritius,
Norway,19
Åland Islands,
Luxembourg,
Estonia,
Georgia,
Samoa,
St. Martin,
Kuwait,
Finland,17
Mongolia,
North Macedonia,
Suriname,
Nepal,
Djibouti,
Faroe Islands,
Tanzania,
Belgium,16
Hong Kong,16
Kosovo,
Netherlands,15
Denmark,15
Lithuania,
China,
Mauritania,
Romania,14
Timor-Leste,
Serbia,14
Germany,13
Czechia,13
Hungary,13
Latvia,
Bangladesh,13
Montenegro,
Austria,12
Libya,
Jordan,
Croatia,
Switzerland,11
India,11
Sudan,
Portugal,11
Chile,11
Bosnia & Herzegovina,
Liechtenstein,
Costa Rica,
Cuba,
Cape Verde,
Togo,
Slovenia,
Slovakia,
Mexico,10
Egypt,10
France,10
El Salvador,
Poland,10
Spain,10
Curaçao,
Oman,
Cambodia,
Bulgaria,
Italy,9
Tunisia,
Macao,
Argentina,9
Armenia,
French Guiana,
Iraq,
Azerbaijan,
Nicaragua,
Benin,
Honduras,
Haiti,
Israel,8
Palestine,
Moldova,
Uruguay,
Saudi Arabia,8
Guinea,
Panama,
Madagascar,
Morocco,
Andorra,
Syria,
Chad,
Niger,
Indonesia,7
South Korea,7
Russia,7
Mozambique,
Türkiye,7
Laos,
Algeria,
Paraguay,
Venezuela,
Angola,
Guatemala,
Thailand,6
Colombia,6
Brazil,6
Bolivia,
Ecuador,
Peru,6
Senegal,
Iran,6
Congo - Brazzaville,
Turkmenistan,
Taiwan,5
Ukraine,5
Yemen,
New Caledonia,
Gabon,
Réunion,
Guadeloupe,
Belarus,
Kazakhstan,
Dominican Republic,
French Polynesia,
Western Sahara,
Vietnam,4
Martinique,
Uzbekistan,
Kyrgyzstan,
Congo - Kinshasa,
Côte d’Ivoire,
Tajikistan,
Mali,
Burkina Faso,
Japan,2
Guinea-Bissau,
American Samoa,
Kiribati,
St. Pierre & Miquelon,
French Southern Territories,
Cook Islands,
British Indian Ocean Territory,
San Marino,
Cocos (Keeling) Islands,
Central African Republic,
Tokelau,
Bouvet Island,
Heard & McDonald Islands,
Tonga,
Comoros,
Svalbard & Jan Mayen,
Greenland,
Tuvalu,
Monaco,
São Tomé & Príncipe,
South Georgia & South Sandwich Islands,
Marshall Islands,
U.S. Outlying Islands,
Christmas Island,
St. Barthélemy,
North Korea,
Vatican City,
Micronesia,
Norfolk Island,
Falkland Islands (Islas Malvinas),
Niue,
Nauru,
Anguilla,
Wallis & Futuna,
Palau,
Eritrea,
Caribbean Netherlands,
Mayotte,
Pitcairn Islands,
Antarctica,
