Category: All categories

Country,border crossing: (7/21/19 - 7/21/24)
Canada,100
Belize,
Gibraltar,
Eswatini,
Cyprus,31
Botswana,
North Macedonia,24
Montenegro,
United States,21
Mexico,20
Gambia,
Laos,
Kosovo,
Albania,
Australia,16
Namibia,
Cambodia,14
Lesotho,
United Arab Emirates,12
Liberia,
U.S. Virgin Islands,
Jamaica,
Zimbabwe,
Sierra Leone,
Slovenia,10
Cayman Islands,
Rwanda,
Jordan,9
South Sudan,
Jersey,
Bermuda,
Afghanistan,
Serbia,8
Bosnia & Herzegovina,
Malawi,
Oman,
Croatia,7
Estonia,
South Africa,7
St. Helena,
Latvia,
Georgia,
Somalia,
Singapore,7
Israel,6
New Zealand,6
Zambia,
Malta,
Costa Rica,
Nicaragua,
Guam,
Bahamas,
Qatar,
Luxembourg,
Ghana,
Kenya,5
Palestine,
China,
Barbados,
Ethiopia,
Tanzania,
Ireland,4
Pakistan,4
Uganda,
Myanmar (Burma),
Brunei,
Guyana,
Mozambique,
Bulgaria,4
Lithuania,
United Kingdom,4
Papua New Guinea,
Mauritania,
Maldives,
Armenia,
Hungary,4
Iceland,
Mongolia,
Nepal,
Togo,
Tajikistan,
Hong Kong,3
Netherlands,3
Switzerland,3
Trinidad & Tobago,
Lebanon,
Bahrain,
Cameroon,
Romania,3
Czechia,3
Malaysia,3
Macao,
Austria,3
Norway,3
Finland,3
Moldova,
Slovakia,
Greece,2
Gabon,
Belgium,2
Denmark,2
Kyrgyzstan,
Sweden,2
Panama,
Kuwait,
Sri Lanka,
Guatemala,
Nigeria,2
Puerto Rico,
Thailand,2
El Salvador,
Benin,
Bangladesh,
Philippines,1
Uzbekistan,
Portugal,
Azerbaijan,
Iraq,
Honduras,
Poland,1
Saudi Arabia,1
Senegal,
India,1
Germany,1
Mauritius,
Côte d’Ivoire,
Ukraine,1
Vietnam,1
South Korea,1
Bolivia,
Syria,
Egypt,
Belarus,
Ecuador,
Congo - Kinshasa,
Indonesia,<1
Spain,<1
France,<1
Angola,
Dominican Republic,
Türkiye,<1
Italy,<1
Morocco,
Tunisia,
Libya,
Kazakhstan,
Chile,
Uruguay,
Russia,<1
Peru,
Argentina,
Yemen,
Colombia,
Taiwan,
Paraguay,
Algeria,
Venezuela,
Iran,
Brazil,<1
Japan,<1
Cocos (Keeling) Islands,
Aruba,
Norfolk Island,
New Caledonia,
Mayotte,
Niue,
Burundi,
Martinique,
Montserrat,
Nauru,
Northern Mariana Islands,
Central African Republic,
Caribbean Netherlands,
Madagascar,
Pitcairn Islands,
Monaco,
St. Martin,
Palau,
Burkina Faso,
Liechtenstein,
St. Lucia,
North Korea,
St. Kitts & Nevis,
Kiribati,
St. Barthélemy,
French Polynesia,
British Indian Ocean Territory,
Réunion,
Isle of Man,
Haiti,
Antigua & Barbuda,
Heard & McDonald Islands,
Sudan,
French Guiana,
Greenland,
South Georgia & South Sandwich Islands,
Grenada,
Svalbard & Jan Mayen,
Solomon Islands,
French Southern Territories,
Equatorial Guinea,
San Marino,
Guinea-Bissau,
St. Pierre & Miquelon,
Antarctica,
American Samoa,
São Tomé & Príncipe,
Suriname,
Guadeloupe,
Guinea,
Guernsey,
Micronesia,
Sint Maarten,
Seychelles,
Faroe Islands,
Turks & Caicos Islands,
Chad,
Falkland Islands (Islas Malvinas),
Fiji,
Western Sahara,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Eritrea,
Dominica,
Djibouti,
Tuvalu,
Bhutan,
Bouvet Island,
Christmas Island,
Curaçao,
U.S. Outlying Islands,
Cuba,
Andorra,
Cape Verde,
Vatican City,
St. Vincent & Grenadines,
Comoros,
British Virgin Islands,
Åland Islands,
Cook Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Congo - Brazzaville,
Mali,
Marshall Islands,
Niger,
