Category: All categories

Country,emigrate: (7/21/19 - 7/21/24)
South Africa,100
Liberia,
Curaçao,
Bermuda,
Bahrain,59
United Kingdom,57
Guyana,
Jamaica,53
Ireland,53
Isle of Man,
Jersey,
Qatar,50
Papua New Guinea,
Barbados,
Trinidad & Tobago,
Belize,
Mauritius,
Zimbabwe,
Oman,38
United Arab Emirates,35
New Zealand,35
Hong Kong,32
Kuwait,30
Lebanon,30
Fiji,
Bahamas,
Albania,
Namibia,
St. Helena,
United States,28
Guam,
Mauritania,
Singapore,28
Canada,25
Australia,23
India,23
Philippines,19
Malta,
Kosovo,
Maldives,
Botswana,
Iceland,
Brunei,
Suriname,
Malawi,
Ghana,
Nigeria,15
China,
Cyprus,
Tunisia,
Morocco,15
Myanmar (Burma),
Afghanistan,
Moldova,
Saudi Arabia,12
Pakistan,12
Rwanda,
Zambia,
Cambodia,
Sri Lanka,12
North Macedonia,
Estonia,
Somalia,
Mongolia,
Cuba,
Nepal,
Luxembourg,
Malaysia,11
Lithuania,
Norway,9
Finland,9
Kenya,9
Ethiopia,
Mozambique,
Latvia,
Portugal,8
Honduras,
Romania,8
Vietnam,8
Czechia,8
Belarus,8
Greece,8
Palestine,
Panama,
Angola,
Russia,8
Netherlands,8
Austria,7
Armenia,
Bulgaria,7
Costa Rica,
Sweden,7
Nicaragua,
Germany,7
Slovakia,
Syria,
Denmark,7
Puerto Rico,
Switzerland,7
South Korea,7
Jordan,
Montenegro,
Iran,7
Senegal,
Serbia,
Taiwan,5
Mexico,5
Tanzania,
Iraq,
Uzbekistan,
Hungary,5
Slovenia,
Georgia,
El Salvador,
Ukraine,5
Belgium,5
Uganda,
Poland,4
Bangladesh,4
Croatia,
Dominican Republic,
Azerbaijan,
Israel,4
Sudan,
Cameroon,
Kazakhstan,
Spain,4
Egypt,4
Uruguay,
Italy,4
Guatemala,
Libya,
Chile,2
Argentina,2
Kyrgyzstan,
Thailand,2
Bosnia & Herzegovina,
Algeria,
Colombia,2
France,2
Venezuela,
Ecuador,
Peru,1
Türkiye,1
Japan,1
Bolivia,
Paraguay,
Indonesia,1
Brazil,<1
Macao,
Aruba,
French Southern Territories,
Antigua & Barbuda,
Montserrat,
Martinique,
British Indian Ocean Territory,
Kiribati,
Haiti,
Mayotte,
Heard & McDonald Islands,
New Caledonia,
Niger,
Norfolk Island,
Burundi,
French Guiana,
Niue,
Greenland,
Grenada,
Equatorial Guinea,
Nauru,
Andorra,
Guinea-Bissau,
Gambia,
Guadeloupe,
Pitcairn Islands,
St. Kitts & Nevis,
Guinea,
Palau,
Åland Islands,
Gibraltar,
Guernsey,
North Korea,
Gabon,
Antarctica,
Micronesia,
French Polynesia,
Anguilla,
Réunion,
Faroe Islands,
Mali,
Falkland Islands (Islas Malvinas),
Western Sahara,
Eritrea,
American Samoa,
Marshall Islands,
South Georgia & South Sandwich Islands,
Dominica,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Djibouti,
San Marino,
Cayman Islands,
St. Pierre & Miquelon,
Christmas Island,
South Sudan,
São Tomé & Príncipe,
Benin,
Cape Verde,
Comoros,
St. Lucia,
Eswatini,
Sint Maarten,
Seychelles,
Cook Islands,
Turks & Caicos Islands,
Chad,
Togo,
Congo - Brazzaville,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Congo - Kinshasa,
Côte d’Ivoire,
Liechtenstein,
Tuvalu,
Cocos (Keeling) Islands,
Central African Republic,
Bouvet Island,
Bhutan,
U.S. Outlying Islands,
Caribbean Netherlands,
Madagascar,
Lesotho,
Vatican City,
St. Vincent & Grenadines,
St. Martin,
British Virgin Islands,
U.S. Virgin Islands,
Burkina Faso,
Vanuatu,
Wallis & Futuna,
Samoa,
St. Barthélemy,
Yemen,
Monaco,
Laos,
Northern Mariana Islands,
