Category: All categories

Country,green card: (7/21/19 - 7/21/24)
Burundi,
Rwanda,100
Fiji,
Northern Mariana Islands,
Kenya,63
Senegal,36
Uzbekistan,33
Chad,
Côte d’Ivoire,30
Azerbaijan,30
Sri Lanka,29
Turkmenistan,
Armenia,29
Montserrat,
Guam,
Dominica,
Jamaica,22
St. Kitts & Nevis,
Antigua & Barbuda,
Kosovo,
Djibouti,
Mauritania,
British Virgin Islands,
Afghanistan,
Georgia,18
American Samoa,
Tajikistan,
U.S. Virgin Islands,
Grenada,
United States,17
Gambia,
Turks & Caicos Islands,
Aruba,
Sint Maarten,
Algeria,15
St. Lucia,
Türkiye,14
Bahamas,
Guyana,
Uganda,13
Liberia,
Moldova,12
Mali,
Trinidad & Tobago,
Tonga,
Belize,
Cayman Islands,
St. Vincent & Grenadines,
Somalia,
Qatar,10
North Macedonia,
South Sudan,
Guinea,
Kyrgyzstan,9
Bermuda,
Ghana,8
Sierra Leone,
Cameroon,
Equatorial Guinea,
Togo,
St. Martin,
Barbados,
Cyprus,
Nigeria,7
United Arab Emirates,7
Ethiopia,
Cape Verde,
Mongolia,
Burkina Faso,
Central African Republic,
Seychelles,
Albania,
Bhutan,
Tanzania,
Nepal,6
Montenegro,
Zimbabwe,
Canada,5
Congo - Brazzaville,
St. Helena,
Ireland,5
Singapore,5
United Kingdom,5
Maldives,
Comoros,
China,
Curaçao,
Lebanon,
Niger,
Botswana,
Jersey,
Gabon,
Gibraltar,
Finland,4
New Zealand,4
Guernsey,
Åland Islands,
Haiti,
South Africa,4
Malawi,
Benin,
Samoa,
Bahrain,
Australia,4
Malta,
Morocco,4
Philippines,3
Vanuatu,
Guinea-Bissau,
Pakistan,3
Malaysia,3
Zambia,
Kazakhstan,3
Cuba,
Nicaragua,
Tunisia,
Hong Kong,3
Serbia,3
Suriname,
Myanmar (Burma),
Isle of Man,
Iceland,
Brazil,3
Western Sahara,
Namibia,
India,3
Liechtenstein,
Kuwait,
Puerto Rico,
Papua New Guinea,
Madagascar,
Jordan,
Angola,
Congo - Kinshasa,
Latvia,
Lithuania,
Bangladesh,2
Libya,
Dominican Republic,
Belarus,2
Mauritius,
French Polynesia,
Eswatini,
Estonia,
Luxembourg,
Oman,
Honduras,
El Salvador,
Panama,
Costa Rica,
Laos,
Brunei,
Sweden,2
Israel,2
Italy,2
Venezuela,2
Palestine,
Cambodia,
Lesotho,
Sudan,
Bosnia & Herzegovina,
San Marino,
Ecuador,2
Bulgaria,
South Korea,1
Thailand,1
St. Barthélemy,
Russia,1
Ukraine,1
Switzerland,1
Guatemala,
Iraq,
Mexico,1
Faroe Islands,
Saudi Arabia,1
Yemen,
Macao,
Germany,1
Austria,1
Andorra,
New Caledonia,
Norway,
Netherlands,1
Denmark,
Peru,1
Egypt,1
Romania,1
Portugal,
Guadeloupe,
Colombia,1
France,1
Mozambique,
Hungary,
Belgium,1
Croatia,
Spain,1
Bolivia,
Argentina,1
Czechia,
Slovakia,
Chile,1
French Guiana,
Slovenia,
Greece,
Uruguay,
Timor-Leste,
Syria,
Paraguay,
Poland,<1
Martinique,
Vietnam,<1
Taiwan,<1
Indonesia,<1
Réunion,
Iran,<1
Japan,<1
Eritrea,
Anguilla,
Norfolk Island,
Marshall Islands,
Tokelau,
Falkland Islands (Islas Malvinas),
São Tomé & Príncipe,
Monaco,
Bouvet Island,
Micronesia,
Caribbean Netherlands,
Tuvalu,
Niue,
St. Pierre & Miquelon,
Cocos (Keeling) Islands,
Christmas Island,
U.S. Outlying Islands,
Nauru,
Kiribati,
Greenland,
Vatican City,
French Southern Territories,
Solomon Islands,
Antarctica,
Svalbard & Jan Mayen,
South Georgia & South Sandwich Islands,
Pitcairn Islands,
Wallis & Futuna,
Cook Islands,
Heard & McDonald Islands,
British Indian Ocean Territory,
Palau,
North Korea,
Mayotte,
