Category: All categories

Country,immigrate: (7/21/19 - 7/21/24)
Antarctica,
Mauritius,100
South Africa,88
Lebanon,86
Liberia,
Jamaica,60
Ethiopia,49
Nigeria,48
Namibia,
Barbados,
Trinidad & Tobago,44
Bahamas,
Canada,42
Burundi,
Afghanistan,
Zimbabwe,42
Dominica,
Antigua & Barbuda,
Madagascar,
Rwanda,
Seychelles,
Gambia,
Qatar,36
Curaçao,
Aruba,
Somalia,
Djibouti,
Grenada,
Kenya,30
Cameroon,29
Guyana,
South Sudan,
St. Lucia,
United Arab Emirates,28
Cayman Islands,
Hong Kong,27
Ghana,27
China,27
Bermuda,
Fiji,
Sierra Leone,
Guam,
New Zealand,23
Togo,
Uganda,22
Tunisia,22
Suriname,
Botswana,
United States,20
Kuwait,20
Papua New Guinea,
Philippines,19
Sudan,
Belize,
Sri Lanka,19
Bahrain,
Jersey,
Albania,
Pakistan,18
Eswatini,
Morocco,17
Macao,
Malawi,
Mauritania,
Singapore,15
Oman,15
Mongolia,
Lesotho,
Jordan,15
Isle of Man,
Iceland,
Maldives,
St. Helena,
Australia,14
Zambia,
Malta,
United Kingdom,13
Egypt,13
Congo - Brazzaville,
Ireland,12
Kosovo,
Cambodia,
Myanmar (Burma),
Cyprus,
Palestine,
Brunei,
North Macedonia,
Nepal,10
Algeria,10
Niger,
Armenia,
Syria,
Libya,
Angola,
Israel,9
Tanzania,
Iraq,8
Benin,
Saudi Arabia,8
Bangladesh,8
Haiti,
Yemen,
Georgia,
Guinea,
Mozambique,
Iran,6
Gabon,
Malaysia,6
Congo - Kinshasa,
Azerbaijan,
Turkmenistan,
Luxembourg,
Norway,5
Uzbekistan,
Tajikistan,
Laos,
India,5
Mali,
Panama,
Senegal,
South Korea,5
Honduras,
Vietnam,5
Côte d’Ivoire,
Serbia,4
Dominican Republic,
Taiwan,4
Moldova,
Puerto Rico,
Estonia,
Denmark,4
Bosnia & Herzegovina,
Cuba,
Montenegro,
El Salvador,
Sweden,3
Greece,3
Costa Rica,
Lithuania,
Latvia,
Portugal,3
Kazakhstan,3
Bulgaria,
Netherlands,3
Romania,3
Nicaragua,
Switzerland,2
Thailand,2
Belgium,2
Colombia,2
Finland,
Kyrgyzstan,
Ecuador,
Austria,2
Mexico,2
Guatemala,
Italy,1
Slovenia,
Türkiye,1
Hungary,
Germany,1
Venezuela,
Chile,1
Croatia,
Slovakia,
Peru,1
Czechia,
Russia,1
Paraguay,
Japan,1
Ukraine,1
Bolivia,
Uruguay,
Belarus,
Spain,<1
France,<1
Argentina,<1
Indonesia,<1
Brazil,<1
Poland,<1
Monaco,
Caribbean Netherlands,
Guernsey,
Gibraltar,
Micronesia,
French Polynesia,
Faroe Islands,
Réunion,
Palau,
Guadeloupe,
Pitcairn Islands,
Falkland Islands (Islas Malvinas),
Guinea-Bissau,
American Samoa,
Equatorial Guinea,
South Georgia & South Sandwich Islands,
Western Sahara,
Svalbard & Jan Mayen,
Solomon Islands,
Eritrea,
Greenland,
San Marino,
Nauru,
St. Pierre & Miquelon,
French Guiana,
Christmas Island,
São Tomé & Príncipe,
Cape Verde,
Heard & McDonald Islands,
Niue,
Comoros,
Åland Islands,
Sint Maarten,
Cook Islands,
Norfolk Island,
Turks & Caicos Islands,
Chad,
New Caledonia,
Mayotte,
Cocos (Keeling) Islands,
Tokelau,
French Southern Territories,
Timor-Leste,
Tonga,
Anguilla,
Central African Republic,
British Indian Ocean Territory,
Tuvalu,
Bouvet Island,
Bhutan,
Andorra,
Martinique,
U.S. Outlying Islands,
Montserrat,
Northern Mariana Islands,
Kiribati,
Vatican City,
St. Vincent & Grenadines,
St. Kitts & Nevis,
British Virgin Islands,
U.S. Virgin Islands,
St. Barthélemy,
Vanuatu,
Wallis & Futuna,
Samoa,
Liechtenstein,
Burkina Faso,
Marshall Islands,
St. Martin,
North Korea,
