Category: All categories

Country,immigration: (7/21/19 - 7/21/24)
Tonga,
Fiji,100
Samoa,
Cook Islands,
Cayman Islands,
Maldives,53
New Zealand,50
British Virgin Islands,
Vanuatu,
Belize,
Burundi,
Cameroon,30
Ghana,30
Solomon Islands,
Barbados,
Bermuda,
Sint Maarten,
Togo,
Bahamas,
Seychelles,
Djibouti,
Antigua & Barbuda,
American Samoa,
Turks & Caicos Islands,
Ethiopia,24
United Arab Emirates,24
Nigeria,23
Haiti,22
Bhutan,
Micronesia,
Qatar,21
St. Vincent & Grenadines,
Anguilla,
Canada,21
Falkland Islands (Islas Malvinas),
Palau,
Brunei,
Senegal,19
Chad,
Kiribati,
Sri Lanka,19
Guinea,
Malawi,
Rwanda,
Dominica,
Papua New Guinea,
Afghanistan,
Gambia,
St. Kitts & Nevis,
Northern Mariana Islands,
Congo - Brazzaville,
Jamaica,17
Zambia,17
Marshall Islands,
Liberia,
Benin,
St. Lucia,
Trinidad & Tobago,16
Mauritius,
Hong Kong,15
Eritrea,
Côte d’Ivoire,15
Guyana,
Grenada,
Tanzania,14
U.S. Virgin Islands,
Pakistan,13
Botswana,
Zimbabwe,
Uganda,12
Kenya,12
Nepal,11
Lebanon,11
St. Martin,
Sierra Leone,
Congo - Kinshasa,
Curaçao,
Somalia,
Namibia,
Tunisia,10
Bahrain,
Cyprus,10
Australia,10
Gabon,
Caribbean Netherlands,
Equatorial Guinea,
Madagascar,
Singapore,8
St. Pierre & Miquelon,
Algeria,8
Central African Republic,
Morocco,8
Mali,
Isle of Man,
United States,8
Mauritania,
Malaysia,8
Guam,
Philippines,7
Jersey,
Aruba,
Burkina Faso,
Niger,
Guernsey,
Montserrat,
Macao,
South Sudan,
Comoros,
St. Helena,
Ireland,6
United Kingdom,6
Kuwait,6
Oman,
Bangladesh,6
China,
Svalbard & Jan Mayen,
New Caledonia,
South Africa,5
Malta,
Gibraltar,
Western Sahara,
French Guiana,
Mongolia,
Luxembourg,
Eswatini,
Mayotte,
Iceland,
Timor-Leste,
St. Barthélemy,
Lesotho,
Albania,
Myanmar (Burma),
Laos,
India,3
French Polynesia,
Cambodia,
Thailand,3
South Korea,3
France,2
Jordan,
Sudan,
Guadeloupe,
Saudi Arabia,2
Suriname,
Guinea-Bissau,
Faroe Islands,
Andorra,
Martinique,
Cape Verde,
Angola,
Dominican Republic,
Palestine,
Switzerland,2
Sweden,2
Réunion,
Armenia,
Cuba,
Liechtenstein,
Egypt,1
Libya,
Norway,1
Tajikistan,
Vietnam,1
Denmark,1
Iraq,
Mozambique,
Nicaragua,
Hungary,1
Belgium,1
Puerto Rico,
Israel,1
North Macedonia,
Åland Islands,
Yemen,
Greece,1
Kosovo,
Georgia,
Finland,1
Honduras,
Latvia,
Taiwan,1
Panama,
Syria,
El Salvador,
Greenland,
Azerbaijan,
Costa Rica,
Portugal,
Uzbekistan,
Estonia,
Germany,1
Netherlands,1
Montenegro,
Moldova,
Iran,<1
Romania,
Austria,
Colombia,<1
Lithuania,
Mexico,<1
Italy,<1
Guatemala,
Serbia,
Kyrgyzstan,
Bulgaria,
Indonesia,<1
Ecuador,
Czechia,
Japan,<1
Russia,<1
Bosnia & Herzegovina,
Spain,<1
Kazakhstan,
Türkiye,<1
Slovenia,
Croatia,
Chile,
Venezuela,
Uruguay,
Ukraine,<1
Slovakia,
Turkmenistan,
Poland,<1
Peru,
Argentina,<1
Bolivia,
Belarus,
Brazil,<1
Paraguay,
Tuvalu,
Tokelau,
French Southern Territories,
Antarctica,
U.S. Outlying Islands,
Bouvet Island,
Pitcairn Islands,
Cocos (Keeling) Islands,
Vatican City,
Christmas Island,
Niue,
South Georgia & South Sandwich Islands,
São Tomé & Príncipe,
Heard & McDonald Islands,
Wallis & Futuna,
North Korea,
Monaco,
British Indian Ocean Territory,
Norfolk Island,
San Marino,
Nauru,
