Category: All categories

Country,migrate: (7/21/19 - 7/21/24)
Nigeria,100
Marshall Islands,
Solomon Islands,
Fiji,
Belize,
Jamaica,29
Papua New Guinea,
Zimbabwe,
Singapore,27
Liberia,
British Virgin Islands,
Trinidad & Tobago,26
Vanuatu,
China,25
Tonga,
Guyana,
American Samoa,
St. Helena,
United Arab Emirates,22
Gibraltar,
Sri Lanka,22
Samoa,
St. Vincent & Grenadines,
Philippines,21
Dominica,
Palau,
Guernsey,
Australia,18
Antigua & Barbuda,
New Zealand,18
Maldives,
Grenada,
St. Kitts & Nevis,
Northern Mariana Islands,
Seychelles,
Botswana,
Lesotho,
St. Lucia,
Ethiopia,
Gambia,
Barbados,
Bahamas,
Qatar,15
Åland Islands,
Sint Maarten,
Ghana,15
Cayman Islands,
Bhutan,
Mauritius,
Isle of Man,
Brunei,
U.S. Virgin Islands,
Canada,14
Hong Kong,14
Bahrain,
Malta,
Luxembourg,
Bermuda,
United States,13
Faroe Islands,
Kenya,13
Namibia,
Uganda,13
Jersey,
Rwanda,
Sierra Leone,
Guam,
South Africa,13
Eswatini,
Iceland,
Turks & Caicos Islands,
Malawi,
United Kingdom,12
Malaysia,12
Liechtenstein,
Pakistan,11
Caribbean Netherlands,
Ireland,11
South Sudan,
Curaçao,
Nepal,11
North Macedonia,
India,10
Lebanon,
Estonia,
Cyprus,
Andorra,
St. Martin,
Zambia,
Kuwait,
Switzerland,9
Latvia,
Netherlands,9
Myanmar (Burma),
Somalia,
Slovenia,
Aruba,
Sweden,8
Madagascar,
Norway,8
Macao,
Armenia,
Israel,8
Denmark,8
Oman,
Portugal,8
Lithuania,8
Cameroon,
Cambodia,
Bulgaria,7
Kosovo,
Albania,
Czechia,7
Romania,7
Greenland,
Belgium,6
Finland,6
New Caledonia,
Costa Rica,
Mongolia,
Bangladesh,6
Tanzania,
Tunisia,
Jordan,
Suriname,
Togo,
Afghanistan,
South Korea,6
Benin,
French Polynesia,
Austria,6
Slovakia,6
San Marino,
Timor-Leste,
Hungary,5
Serbia,5
Cape Verde,
Croatia,5
Montenegro,
Vietnam,5
Germany,5
Burundi,
Georgia,
Greece,4
Uruguay,
Puerto Rico,
Moldova,
Palestine,
Laos,
Bosnia & Herzegovina,
Mozambique,
Poland,4
Egypt,4
Panama,
Djibouti,
Spain,4
Taiwan,3
Morocco,3
Senegal,
Thailand,3
Saudi Arabia,3
France,3
Angola,
El Salvador,
Niger,
Honduras,
Ukraine,3
Congo - Brazzaville,
Belarus,
Russia,3
Sudan,
Azerbaijan,
Indonesia,3
Côte d’Ivoire,
Mauritania,
Cuba,
Libya,
Italy,2
Uzbekistan,
Dominican Republic,
Yemen,
Nicaragua,
Colombia,2
Gabon,
Chile,2
Guatemala,
Argentina,2
Kyrgyzstan,
Burkina Faso,
Syria,
Réunion,
Japan,2
Ecuador,
Mexico,2
Bolivia,
Iraq,
Guinea,
Tajikistan,
Haiti,
Brazil,1
Paraguay,
Congo - Kinshasa,
Kazakhstan,
Mali,
Peru,1
Guadeloupe,
Iran,1
Venezuela,
Turkmenistan,
Algeria,
Türkiye,1
Martinique,
Svalbard & Jan Mayen,
Comoros,
Central African Republic,
Pitcairn Islands,
Chad,
Cocos (Keeling) Islands,
Christmas Island,
Bouvet Island,
Tokelau,
Western Sahara,
Eritrea,
Nauru,
French Southern Territories,
Heard & McDonald Islands,
São Tomé & Príncipe,
Tuvalu,
Monaco,
Falkland Islands (Islas Malvinas),
Antarctica,
Niue,
U.S. Outlying Islands,
Norfolk Island,
Micronesia,
North Korea,
Vatican City,
Mayotte,
St. Pierre & Miquelon,
French Guiana,
Kiribati,
Cook Islands,
Anguilla,
Wallis & Futuna,
Equatorial Guinea,
Guinea-Bissau,
St. Barthélemy,
Montserrat,
South Georgia & South Sandwich Islands,
British Indian Ocean Territory,
