Category: All categories

Country,move abroad: (7/21/19 - 7/21/24)
United Kingdom,100
Ireland,68
Suriname,
Iceland,
Mauritius,
Malta,
St. Helena,
Cyprus,28
Namibia,
Pakistan,20
Zimbabwe,
Kosovo,
Trinidad & Tobago,
Kenya,16
New Zealand,16
South Africa,16
United Arab Emirates,16
Qatar,
Nigeria,16
Nepal,16
Canada,16
Philippines,12
Singapore,12
Sri Lanka,12
Ghana,12
United States,12
Uganda,12
Estonia,
India,12
Lebanon,
China,
Bahrain,
Albania,
Australia,12
Cambodia,
Jamaica,
Norway,8
Sweden,8
Portugal,8
Switzerland,8
Myanmar (Burma),
Hong Kong,8
Finland,8
Greece,8
Denmark,8
Netherlands,8
Bangladesh,8
Latvia,
Ethiopia,
Lithuania,
Uzbekistan,4
Georgia,
Slovenia,
Belgium,4
Bulgaria,4
Vietnam,4
Costa Rica,
Spain,4
Panama,
Azerbaijan,
Hungary,4
Malaysia,4
Puerto Rico,
Austria,4
Croatia,
South Korea,4
Romania,4
Morocco,4
Serbia,
Thailand,4
Slovakia,
Israel,<1
Kazakhstan,
Germany,<1
Jordan,
Italy,<1
Czechia,<1
Egypt,<1
Ecuador,
France,<1
Saudi Arabia,<1
Indonesia,<1
Poland,<1
Algeria,
Mexico,<1
Taiwan,<1
Ukraine,<1
Türkiye,<1
Russia,<1
Peru,
Japan,<1
Colombia,
Iran,<1
Argentina,<1
Chile,
Brazil,<1
Laos,
Aruba,
Honduras,
Guyana,
Haiti,
Guam,
French Guiana,
Isle of Man,
Guatemala,
British Indian Ocean Territory,
Greenland,
Grenada,
Iraq,
Equatorial Guinea,
Guinea-Bissau,
Gambia,
Guadeloupe,
Jersey,
Guinea,
Gibraltar,
Guernsey,
Gabon,
Kyrgyzstan,
Micronesia,
Kiribati,
St. Kitts & Nevis,
Faroe Islands,
Kuwait,
Falkland Islands (Islas Malvinas),
Fiji,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Western Sahara,
Lesotho,
Eritrea,
Luxembourg,
Dominican Republic,
Macao,
St. Martin,
Dominica,
Monaco,
Moldova,
Madagascar,
Maldives,
Djibouti,
Marshall Islands,
North Macedonia,
Mali,
Cayman Islands,
Christmas Island,
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Curaçao,
Malawi,
Cuba,
Mayotte,
Cape Verde,
New Caledonia,
Niger,
Norfolk Island,
Comoros,
Nicaragua,
Niue,
Cook Islands,
Congo - Brazzaville,
Congo - Kinshasa,
Nauru,
Cameroon,
Oman,
Côte d’Ivoire,
Heard & McDonald Islands,
Pitcairn Islands,
Central African Republic,
Botswana,
Palau,
Papua New Guinea,
Bouvet Island,
Bhutan,
North Korea,
Brunei,
Paraguay,
Palestine,
French Polynesia,
Barbados,
Réunion,
Bolivia,
Bermuda,
Rwanda,
Belize,
Sudan,
Senegal,
Belarus,
South Georgia & South Sandwich Islands,
St. Barthélemy,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Bosnia & Herzegovina,
South Sudan,
São Tomé & Príncipe,
Bahamas,
Burkina Faso,
Caribbean Netherlands,
Benin,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Burundi,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Antigua & Barbuda,
Tunisia,
French Southern Territories,
Tuvalu,
Antarctica,
Tanzania,
American Samoa,
Armenia,
U.S. Outlying Islands,
Uruguay,
Andorra,
Åland Islands,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Anguilla,
Vanuatu,
Wallis & Futuna,
Samoa,
Afghanistan,
Yemen,
Liberia,
Zambia,
Cocos (Keeling) Islands,
