Category: All categories

Country,permanent residency: (7/21/19 - 7/21/24)
Cayman Islands,100
Samoa,
New Zealand,32
Vanuatu,
Fiji,
Australia,21
Bahamas,19
Papua New Guinea,
Turks & Caicos Islands,
Qatar,15
Belize,
Canada,14
St. Kitts & Nevis,
Cyprus,11
Jamaica,10
Bermuda,
Antigua & Barbuda,
St. Lucia,
St. Vincent & Grenadines,
Zimbabwe,
Nigeria,7
Trinidad & Tobago,7
Barbados,
Singapore,7
United Arab Emirates,6
Malta,
Bhutan,
Gambia,
Namibia,
Guyana,
St. Helena,
Grenada,
Kenya,6
Eswatini,
Mauritius,
Botswana,
Sri Lanka,5
Lebanon,5
Rwanda,
Ghana,5
South Africa,4
Bahrain,
China,4
Nepal,4
Hong Kong,4
Philippines,4
Ethiopia,
Somalia,
Pakistan,3
Ireland,3
Oman,3
Kuwait,3
Lesotho,
Sierra Leone,
Malawi,
Afghanistan,
Guam,
Jersey,
Macao,
Uganda,
Bangladesh,2
Brunei,
United Kingdom,2
Maldives,
Suriname,
Mongolia,
Zambia,
Iceland,
Myanmar (Burma),
Luxembourg,
Cameroon,
South Korea,1
Cambodia,
United States,1
Saudi Arabia,1
Estonia,
Albania,
Malaysia,1
Denmark,1
Laos,
Palestine,
Tanzania,
India,1
Sweden,1
Norway,1
Jordan,
Armenia,
Georgia,
Haiti,
Benin,
Czechia,1
Sudan,
Portugal,1
Costa Rica,
Panama,
Netherlands,<1
North Macedonia,
Libya,
Mali,
Mozambique,
Morocco,<1
Thailand,<1
Finland,<1
Latvia,
Côte d’Ivoire,
Iraq,
Germany,<1
Japan,<1
Tunisia,
Angola,
Israel,<1
Switzerland,<1
Vietnam,<1
Kosovo,
Hungary,<1
Dominican Republic,
Taiwan,<1
Egypt,<1
Azerbaijan,
Lithuania,
Senegal,
Belgium,<1
Algeria,
Slovenia,
Croatia,
Yemen,
Austria,<1
Congo - Kinshasa,
Spain,<1
Puerto Rico,
Bulgaria,
Serbia,
Greece,<1
Syria,
Honduras,
Mexico,<1
Slovakia,
Kyrgyzstan,
Nicaragua,
Bosnia & Herzegovina,
Ecuador,
Romania,
Iran,<1
Indonesia,<1
Uzbekistan,
Russia,<1
Poland,<1
El Salvador,
Kazakhstan,
Türkiye,<1
Colombia,<1
Ukraine,<1
Paraguay,
France,<1
Guatemala,
Italy,<1
Chile,
Belarus,
Uruguay,
Peru,
Argentina,<1
Bolivia,
Venezuela,
Brazil,<1
Norfolk Island,
Niue,
Niger,
New Caledonia,
Mayotte,
Nauru,
St. Barthélemy,
Eritrea,
Bouvet Island,
Central African Republic,
Pitcairn Islands,
Martinique,
Burkina Faso,
Palau,
Caribbean Netherlands,
Montserrat,
Mauritania,
North Korea,
Northern Mariana Islands,
Cocos (Keeling) Islands,
Montenegro,
French Polynesia,
Marshall Islands,
Réunion,
Madagascar,
Moldova,
Monaco,
St. Martin,
Liechtenstein,
Congo - Brazzaville,
Burundi,
South Georgia & South Sandwich Islands,
Cook Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Comoros,
Cape Verde,
San Marino,
French Southern Territories,
St. Pierre & Miquelon,
Kiribati,
South Sudan,
São Tomé & Príncipe,
Antarctica,
Cuba,
Curaçao,
Christmas Island,
American Samoa,
Sint Maarten,
Seychelles,
British Indian Ocean Territory,
Isle of Man,
Chad,
Togo,
Heard & McDonald Islands,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Djibouti,
French Guiana,
Greenland,
Tuvalu,
Dominica,
Equatorial Guinea,
Andorra,
Guinea-Bissau,
U.S. Outlying Islands,
Guadeloupe,
Guinea,
Gibraltar,
Vatican City,
Guernsey,
Gabon,
British Virgin Islands,
U.S. Virgin Islands,
Micronesia,
Åland Islands,
Wallis & Futuna,
Anguilla,
Faroe Islands,
Falkland Islands (Islas Malvinas),
Liberia,
Western Sahara,
Aruba,
