Category: All categories

Country,refugee: (7/21/19 - 7/21/24)
South Sudan,
Uganda,100
Eritrea,
Somalia,61
Rwanda,55
Burundi,
Ethiopia,48
Micronesia,
Afghanistan,47
Kenya,45
Malawi,
Djibouti,
Australia,28
Canada,27
Liberia,
Ireland,23
Zimbabwe,
New Zealand,22
Sierra Leone,
Eswatini,
Central African Republic,
Chad,
United Kingdom,20
Zambia,20
Cameroon,18
Cyprus,18
Tanzania,17
Lebanon,17
Papua New Guinea,
South Africa,17
Namibia,
Gambia,
Vanuatu,
Malta,
Comoros,
Bhutan,
Gibraltar,
Lesotho,
Botswana,
Bahamas,
Antigua & Barbuda,
Niger,
Sudan,
Seychelles,
United States,11
Northern Mariana Islands,
Samoa,
Fiji,
Myanmar (Burma),
Bermuda,
Iceland,
Barbados,
Bangladesh,10
Guernsey,
Isle of Man,
Jersey,
St. Helena,
Belize,
Malaysia,10
Nepal,9
Ghana,9
Cayman Islands,
Trinidad & Tobago,
Qatar,9
Jordan,9
Nigeria,9
St. Vincent & Grenadines,
China,
Dominica,
Luxembourg,
Guyana,
United Arab Emirates,8
Singapore,8
Pakistan,8
Greece,8
Brunei,
Mauritius,
Hong Kong,7
St. Lucia,
Philippines,7
Grenada,
U.S. Virgin Islands,
St. Kitts & Nevis,
Maldives,
Sri Lanka,7
Jamaica,
Switzerland,6
Netherlands,6
Norway,6
Turks & Caicos Islands,
Mauritania,
Denmark,6
Guam,
Senegal,
Palestine,
Sint Maarten,
Burkina Faso,
Kosovo,
Bahrain,
Mozambique,
Belgium,5
Congo - Kinshasa,
India,4
Georgia,
Guinea,
Yemen,
Estonia,
Sweden,4
Aruba,
Libya,
Curaçao,
Liechtenstein,
Tajikistan,
Togo,
South Korea,3
Finland,3
Armenia,
North Macedonia,
Kuwait,
Iraq,3
Cambodia,
Suriname,
Mali,
Mongolia,
Austria,3
Benin,
Israel,3
Albania,
Germany,3
Haiti,
Tunisia,
Syria,
Timor-Leste,
Oman,
Bosnia & Herzegovina,
Portugal,3
Macao,
Moldova,
Egypt,2
Lithuania,
Montenegro,
Latvia,
Azerbaijan,
Madagascar,
Laos,
Slovenia,
Cape Verde,
Congo - Brazzaville,
Angola,
Hungary,2
Andorra,
Serbia,
Thailand,2
Puerto Rico,
Costa Rica,
Czechia,2
Türkiye,1
France,1
New Caledonia,
Bulgaria,
Panama,
Italy,1
Saudi Arabia,1
Gabon,
Romania,1
Croatia,
Slovakia,
Taiwan,1
Vietnam,1
Côte d’Ivoire,
Morocco,
Ukraine,1
Spain,1
Honduras,
Algeria,
Indonesia,1
Poland,1
El Salvador,
Cuba,
Turkmenistan,
Kyrgyzstan,
Japan,1
Uzbekistan,
Nicaragua,
Iran,<1
Dominican Republic,
Colombia,<1
Guatemala,
Kazakhstan,
Ecuador,
Russia,<1
Venezuela,
Mexico,<1
Belarus,
Réunion,
Uruguay,
Argentina,<1
Peru,
Bolivia,
Brazil,<1
Chile,
Paraguay,
Svalbard & Jan Mayen,
Marshall Islands,
San Marino,
Western Sahara,
São Tomé & Príncipe,
Solomon Islands,
Falkland Islands (Islas Malvinas),
South Georgia & South Sandwich Islands,
Faroe Islands,
Caribbean Netherlands,
American Samoa,
French Polynesia,
Guadeloupe,
Christmas Island,
Guinea-Bissau,
North Korea,
Equatorial Guinea,
Palau,
Tokelau,
Greenland,
Pitcairn Islands,
Tonga,
Cook Islands,
French Guiana,
Antarctica,
Tuvalu,
Nauru,
Åland Islands,
Anguilla,
Heard & McDonald Islands,
U.S. Outlying Islands,
Niue,
Norfolk Island,
British Indian Ocean Territory,
Vatican City,
Mayotte,
French Southern Territories,
British Virgin Islands,
Cocos (Keeling) Islands,
Martinique,
St. Barthélemy,
Wallis & Futuna,
Bouvet Island,
Montserrat,
Kiribati,
St. Martin,
Monaco,
St. Pierre & Miquelon,
