Category: All categories

Country,visa application: (7/21/19 - 7/21/24)
Tonga,
Fiji,100
Gambia,92
Samoa,
Jamaica,62
Ghana,54
Cook Islands,
Papua New Guinea,49
British Virgin Islands,
Liberia,
Zimbabwe,44
Sierra Leone,
Dominica,
Grenada,
St. Vincent & Grenadines,
Cayman Islands,
Guyana,40
Trinidad & Tobago,39
Qatar,38
Solomon Islands,
Antigua & Barbuda,
Bangladesh,35
United Arab Emirates,33
Belize,
Uganda,33
Turks & Caicos Islands,
Nigeria,32
St. Kitts & Nevis,
Kiribati,
Ethiopia,30
American Samoa,
Vanuatu,
Palau,
Rwanda,30
Eritrea,
Kenya,29
Bahamas,29
St. Lucia,
Barbados,
Marshall Islands,
Malawi,
Anguilla,
Afghanistan,23
Bahrain,21
Sri Lanka,20
South Sudan,
Botswana,
Singapore,19
Bhutan,
Burundi,
Nepal,18
Eswatini,
Equatorial Guinea,
Pakistan,16
Bermuda,
Seychelles,
Djibouti,
Somalia,
Sint Maarten,
South Africa,15
Tanzania,14
Oman,14
Lebanon,14
Philippines,13
Maldives,
New Zealand,13
Namibia,
Mauritius,
Kuwait,12
Cameroon,11
Hong Kong,11
Zambia,10
Lesotho,
Haiti,
Micronesia,
Gibraltar,
Northern Mariana Islands,
Mongolia,
Central African Republic,
Ireland,9
United Kingdom,9
Jersey,
Brunei,
Malta,
Canada,8
Guernsey,
Australia,8
Albania,
Isle of Man,
Saudi Arabia,7
Togo,
St. Helena,
China,6
Macao,
Myanmar (Burma),6
Guinea,
Cyprus,
Timor-Leste,
Malaysia,6
Comoros,
St. Martin,
Mauritania,
Kosovo,
Senegal,
Congo - Brazzaville,
Guinea-Bissau,
Benin,
Armenia,
Suriname,
Chad,
Guam,
India,4
Jordan,4
Cambodia,
Congo - Kinshasa,
Aruba,
Madagascar,
Sudan,
U.S. Virgin Islands,
Angola,
Niger,
Curaçao,
Mozambique,
Laos,
Palestine,
Côte d’Ivoire,
Mali,
Luxembourg,
North Macedonia,
Georgia,
Cape Verde,
Libya,
Egypt,2
Tunisia,
Burkina Faso,
Azerbaijan,
Gabon,
Montenegro,
Iraq,2
Morocco,1
Algeria,1
United States,1
Faroe Islands,
Greenland,
Iceland,
Switzerland,1
New Caledonia,
Dominican Republic,
Thailand,1
Liechtenstein,
South Korea,1
Andorra,
Estonia,
Netherlands,1
Belgium,1
Western Sahara,
Sweden,1
Uzbekistan,
Tajikistan,
Israel,1
Denmark,1
Norway,1
French Polynesia,
Yemen,
Portugal,1
Cuba,
Vietnam,<1
Finland,
Germany,<1
Kyrgyzstan,
Panama,
Serbia,
Latvia,
Türkiye,<1
Turkmenistan,
Syria,
Austria,<1
Honduras,
Moldova,
Czechia,
Lithuania,
Bosnia & Herzegovina,
Greece,
France,<1
Indonesia,<1
Costa Rica,
El Salvador,
Nicaragua,
Kazakhstan,
Hungary,
Taiwan,<1
Martinique,
Italy,<1
Romania,
Ecuador,
Bulgaria,
Iran,<1
Slovenia,
Spain,<1
Croatia,
Puerto Rico,
Japan,<1
Ukraine,<1
Réunion,
Poland,<1
Mexico,<1
Guatemala,
Slovakia,
Russia,<1
Colombia,<1
Belarus,
Peru,
Bolivia,
Uruguay,
Venezuela,
Chile,
Paraguay,
Argentina,
Brazil,<1
Falkland Islands (Islas Malvinas),
Tokelau,
Nauru,
São Tomé & Príncipe,
Niue,
French Southern Territories,
St. Pierre & Miquelon,
Cocos (Keeling) Islands,
Tuvalu,
San Marino,
Antarctica,
Bouvet Island,
Svalbard & Jan Mayen,
U.S. Outlying Islands,
Pitcairn Islands,
Norfolk Island,
French Guiana,
Vatican City,
Christmas Island,
North Korea,
British Indian Ocean Territory,
Mayotte,
Heard & McDonald Islands,
Monaco,
Wallis & Futuna,
Åland Islands,
Montserrat,
South Georgia & South Sandwich Islands,
St. Barthélemy,
Guadeloupe,
Caribbean Netherlands,
