Category: All categories

Country,work permit: (7/21/19 - 7/21/24)
Cayman Islands,100
British Virgin Islands,
Singapore,59
Mauritius,47
Turks & Caicos Islands,
Maldives,32
Bermuda,
Malta,26
United Arab Emirates,23
Canada,23
Jamaica,20
Qatar,18
Kiribati,
Isle of Man,
Bahamas,
Nepal,15
Fiji,
Bahrain,14
Bangladesh,13
Zimbabwe,12
Antigua & Barbuda,
St. Kitts & Nevis,
Ghana,12
Pakistan,11
Palau,
Barbados,
South Sudan,
Gambia,
Botswana,
Grenada,
St. Lucia,
Papua New Guinea,
Guernsey,
Tanzania,9
Nigeria,9
St. Vincent & Grenadines,
Seychelles,
Rwanda,
Trinidad & Tobago,9
Jersey,
Dominica,
Guyana,
Ethiopia,8
Oman,8
Uganda,8
Lesotho,
Liberia,
Kuwait,8
Ireland,8
Kenya,7
Sri Lanka,7
Sint Maarten,
South Africa,6
Belize,
Bhutan,
Eswatini,
Namibia,
Vanuatu,
Malawi,
Malaysia,5
Cyprus,5
Sierra Leone,
Equatorial Guinea,
Zambia,
Gibraltar,
Australia,4
Somalia,
China,
Northern Mariana Islands,
Cameroon,
India,4
Brunei,
Hong Kong,3
Saudi Arabia,3
Solomon Islands,
St. Helena,
Myanmar (Burma),
Thailand,3
Burundi,
Philippines,3
Lebanon,
United States,3
Luxembourg,
U.S. Virgin Islands,
Samoa,
Djibouti,
Cambodia,
Macao,
United Kingdom,2
Afghanistan,
St. Martin,
Aruba,
Albania,
Armenia,
Suriname,
Iceland,
Curaçao,
Togo,
Sweden,2
New Zealand,2
Faroe Islands,
Guam,
Kosovo,
Laos,
Haiti,
Mozambique,
North Macedonia,
Switzerland,1
Tunisia,
Jordan,
Denmark,1
Mongolia,
Benin,
Georgia,
Madagascar,
Portugal,1
Estonia,
Angola,
Azerbaijan,
Taiwan,1
Latvia,
Chad,
Netherlands,<1
Morocco,
Congo - Brazzaville,
Montenegro,
Vietnam,<1
Finland,<1
Timor-Leste,
Congo - Kinshasa,
Guinea,
Norway,<1
Belgium,<1
Mauritania,
South Korea,<1
Croatia,
Iraq,
Sudan,
Senegal,
Palestine,
Côte d’Ivoire,
Libya,
Andorra,
Hungary,
Romania,<1
Lithuania,
Egypt,<1
Serbia,
Niger,
Algeria,
Germany,<1
Gabon,
Greece,
Israel,
Panama,
Moldova,
Dominican Republic,
Poland,<1
Austria,
Mali,
Bosnia & Herzegovina,
Czechia,
Costa Rica,
Iran,<1
Cuba,
Bulgaria,
Slovenia,
Honduras,
Indonesia,<1
Uzbekistan,
Burkina Faso,
Türkiye,<1
Tajikistan,
Slovakia,
Nicaragua,
El Salvador,
Turkmenistan,
Kyrgyzstan,
Puerto Rico,
Italy,<1
Spain,<1
Mexico,<1
France,<1
Kazakhstan,
Ukraine,<1
Colombia,<1
Ecuador,
Russia,<1
Yemen,
Syria,
Guatemala,
Belarus,
Chile,
Peru,
Venezuela,
Uruguay,
Brazil,<1
Argentina,
Japan,<1
Bolivia,
Paraguay,
Greenland,
Niue,
St. Pierre & Miquelon,
Nauru,
San Marino,
São Tomé & Príncipe,
French Guiana,
Norfolk Island,
New Caledonia,
Heard & McDonald Islands,
Mayotte,
Cook Islands,
French Southern Territories,
Caribbean Netherlands,
Antarctica,
Cocos (Keeling) Islands,
Svalbard & Jan Mayen,
American Samoa,
Martinique,
Tokelau,
Montserrat,
Comoros,
Tonga,
Cape Verde,
Marshall Islands,
Monaco,
Tuvalu,
British Indian Ocean Territory,
Pitcairn Islands,
Western Sahara,
South Georgia & South Sandwich Islands,
U.S. Outlying Islands,
Central African Republic,
Guinea-Bissau,
Christmas Island,
Vatican City,
Micronesia,
Bouvet Island,
Åland Islands,
Guadeloupe,
Liechtenstein,
Anguilla,
Wallis & Futuna,
Eritrea,
St. Barthélemy,
Réunion,
French Polynesia,
North Korea,
Falkland Islands (Islas Malvinas),
